FNF_ROUTER#show flow monitor FLOW_MONITOR_IPV4 cache format table
  Cache type:                               Normal (Platform cache)
  Cache size:                               200000
  Current entries:                              82
  High Watermark:                               86

  Flows added:                                 176
  Flows aged:                                   94
    - Inactive timeout    (    15 secs)         94

IPV4 SRC ADDR    IPV4 DST ADDR    TRNS SRC PORT  TRNS DST PORT  INTF INPUT            IP DSCP  IP PROT       bytes        pkts
===============  ===============  =============  =============  ====================  =======  =======  ==========  ==========
192.168.1.9      192.168.2.9              35673           5022  Gi3.3001              0x16           6         164           4
192.168.1.9      192.168.2.9              37585           5018  Gi3.3001              0x12           6         164           4
192.168.1.9      192.168.2.9              50811           5016  Gi3.3001              0x10          17          44           1
192.168.1.9      192.168.2.9              49734           5036  Gi3.3001              0x24          17          44           1
192.168.1.9      192.168.2.9              54585           5034  Gi3.3001              0x22          17          44           1
192.168.1.9      192.168.2.9              51523           5024  Gi3.3001              0x18          17          44           1
192.168.1.9      192.168.2.9              51097           5034  Gi3.3001              0x22          17          44           1
192.168.1.9      192.168.2.9              50738           5010  Gi3.3001              0x0A           6         164           4
192.168.1.9      192.168.2.9              51978           5030  Gi3.3001              0x1E          17          44           1
192.168.1.9      192.168.2.9              29374           5014  Gi3.3001              0x0E           6         164           4
192.168.1.9      192.168.2.9              49722           5016  Gi3.3001              0x10          17          44           1
192.168.1.9      192.168.2.9              49418           5032  Gi3.3001              0x20          17          44           1
192.168.1.9      192.168.2.9              37622           5020  Gi3.3001              0x14           6         164           4
192.168.1.9      192.168.2.9              17583           5008  Gi3.3001              0x08           6         164           4
192.168.1.9      192.168.2.9              24729           5008  Gi3.3001              0x08           6         164           4
192.168.1.9      192.168.2.9              49205           5036  Gi3.3001              0x24          17          44           1
192.168.1.9      192.168.2.9                  0           2048  Gi3.3001              0x38           1         192           3
192.168.1.9      192.168.2.9              49498           5024  Gi3.3001              0x18          17          44           1
192.168.1.9      192.168.2.9              43966           5012  Gi3.3001              0x0C           6         164           4
192.168.1.9      192.168.2.9              29865           5018  Gi3.3001              0x12           6         164           4
192.168.1.9      192.168.2.9              49588           5030  Gi3.3001              0x1E          17          44           1
192.168.1.9      192.168.2.9              27441           5040  Gi3.3001              0x28           6         164           4
192.168.1.9      192.168.2.9              50635           5026  Gi3.3001              0x1A          17          44           1
192.168.1.9      192.168.2.9              53972           5046  Gi3.3001              0x2E          17          44           1
192.168.1.9      192.168.2.9              50590           5038  Gi3.3001              0x26          17          44           1
192.168.1.9      192.168.2.9              38196           5020  Gi3.3001              0x14           6         164           4
192.168.1.9      192.168.2.9              50573           5028  Gi3.3001              0x1C          17          44           1
192.168.1.9      192.168.2.9              50681           5000  Gi3.3001              0x00           6         164           4
192.168.1.9      192.168.2.9              38211           5040  Gi3.3001              0x28           6         164           4
192.168.1.9      192.168.2.9                  0           2048  Gi3.3001              0x30           1         192           3
192.168.1.9      192.168.2.9              53353           5046  Gi3.3001              0x2E          17          44           1
192.168.1.9      192.168.2.9              34963           5000  Gi3.3001              0x00           6         164           4
192.168.1.9      192.168.2.9              53148           5032  Gi3.3001              0x20          17          44           1
192.168.1.9      192.168.2.9              49830           5038  Gi3.3001              0x26          17          44           1
192.168.1.9      192.168.2.9              49642           5028  Gi3.3001              0x1C          17          44           1
192.168.1.9      192.168.2.9              54369           5026  Gi3.3001              0x1A          17          44           1
192.168.1.9      192.168.2.9              36935           5014  Gi3.3001              0x0E           6         164           4
192.168.1.9      192.168.2.9              40325           5022  Gi3.3001              0x16           6         164           4
192.168.1.9      192.168.2.9              37378           5012  Gi3.3001              0x0C           6         164           4
192.168.1.9      192.168.2.9              41871           5010  Gi3.3001              0x0A           6         164           4
